label,model_idx,fape,lddt,rmsd,kabsch,prmsd,plddt,plddt_pde
EstA_GlyEE_frame5_input,1,1.8628193140029907,0.9563817977905273,0.8675931692123413,0.0,0.769614577293396,0.9899999499320984,0.8931551575660706
EstA_GlyEE_frame5_input,2,1.7331191301345825,0.9624262452125549,0.8499112129211426,0.0,0.8215619921684265,0.9899999499320984,0.8961490392684937
EstA_GlyEE_frame5_input,3,1.6510108709335327,0.9620981812477112,0.8576635718345642,0.0,0.8551956415176392,0.9766666293144226,0.8841265439987183
EstA_GlyEE_frame5_input,4,1.791619896888733,0.9598982930183411,0.7747407555580139,0.0,0.8880833983421326,0.9899999499320984,0.8799615502357483
EstA_GlyEE_frame5_input,5,1.8972935676574707,0.9463352560997009,0.840474009513855,0.0,0.9203646183013916,0.9899999499320984,0.8838667869567871
EstA_GlyEE_frame5_input,6,1.8434690237045288,0.9570618867874146,0.9521377086639404,0.0,0.9282947182655334,0.9899999499320984,0.8972326517105103
EstA_GlyEE_frame5_input,7,1.8390883207321167,0.9527820944786072,0.7979667782783508,0.0,0.9393236637115479,0.9899999499320984,0.8872661590576172
EstA_GlyEE_frame5_input,8,1.8195598125457764,0.9578067064285278,0.8784936666488647,0.0,0.9832606911659241,0.9899999499320984,0.8902856707572937
EstA_GlyEE_frame5_input,9,2.0025625228881836,0.9480043649673462,0.8450691103935242,0.0,1.0395854711532593,0.9899999499320984,0.8913047313690186
EstA_GlyEE_frame5_input,10,1.8784373998641968,0.9483301639556885,0.9463570713996887,0.0,1.0565667152404785,0.9899999499320984,0.8823933005332947
EstA_GlyEE_frame5_input,11,1.7970551252365112,0.9536490440368652,1.7204957008361816,0.0,1.1264528036117554,0.9899999499320984,0.8997186422348022
EstA_GlyEE_frame5_input,12,1.7500625848770142,0.9586194753646851,0.9031369090080261,0.0,1.1743570566177368,0.9899999499320984,0.8976344466209412
EstA_GlyEE_frame5_input,13,1.8379645347595215,0.9548212885856628,1.6681305170059204,0.0,1.2057194709777832,0.9899999499320984,0.908945620059967
EstA_GlyEE_frame5_input,14,1.8060907125473022,0.9547545313835144,1.633718729019165,0.0,1.2196903228759766,0.9766666293144226,0.9012222290039062
EstA_GlyEE_frame5_input,15,1.8624180555343628,0.9419727325439453,1.641880989074707,0.0,1.2218215465545654,0.9899999499320984,0.9000888466835022
EstA_GlyEE_frame5_input,16,2.021648406982422,0.9422687292098999,1.4649810791015625,0.0,1.2500905990600586,0.9899999499320984,0.8935359716415405
EstA_GlyEE_frame5_input,17,1.805138111114502,0.9570745825767517,1.641727089881897,0.0,1.279488205909729,0.9899999499320984,0.9109716415405273
EstA_GlyEE_frame5_input,18,1.8801465034484863,0.9513058066368103,1.3813090324401855,0.0,1.298011302947998,0.9899999499320984,0.9127010703086853
EstA_GlyEE_frame5_input,19,2.0496463775634766,0.9370814561843872,0.9656928777694702,0.0,1.3403916358947754,0.9899999499320984,0.8793028593063354
EstA_GlyEE_frame5_input,20,1.7773147821426392,0.9469351768493652,1.1816951036453247,0.0,1.353702187538147,0.9833332896232605,0.8757877349853516
EstA_GlyEE_frame5_input,21,1.7181516885757446,0.9553954005241394,1.4846577644348145,0.0,1.3655645847320557,0.9766666293144226,0.885861873626709
EstA_GlyEE_frame5_input,22,1.7548129558563232,0.9556408524513245,1.3184001445770264,0.0,1.3717515468597412,0.903333306312561,0.8685683012008667
EstA_GlyEE_frame5_input,23,1.8570564985275269,0.955864429473877,1.1309926509857178,0.0,1.3903834819793701,0.9899999499320984,0.8845758438110352
EstA_GlyEE_frame5_input,24,1.861427664756775,0.9538064002990723,1.0565065145492554,0.0,1.402688980102539,0.9899999499320984,0.8757100701332092
EstA_GlyEE_frame5_input,25,1.9165096282958984,0.9460603594779968,1.2727181911468506,0.0,1.4248229265213013,0.9833332896232605,0.8833274841308594
EstA_GlyEE_frame5_input,26,1.8724191188812256,0.9488681554794312,2.325282573699951,0.0,1.4393478631973267,0.9899999499320984,0.8611803650856018
EstA_GlyEE_frame5_input,27,1.726091980934143,0.9579832553863525,1.4936925172805786,0.0,1.464807152748108,0.9833332896232605,0.8737000226974487
EstA_GlyEE_frame5_input,28,1.9799156188964844,0.9414805173873901,1.4300270080566406,0.0,1.4663153886795044,0.9899999499320984,0.8869295120239258
EstA_GlyEE_frame5_input,29,1.8522077798843384,0.9503881335258484,1.1446453332901,0.0,1.4672846794128418,0.9699999690055847,0.8759907484054565
EstA_GlyEE_frame5_input,30,1.7841532230377197,0.9531234502792358,1.2466020584106445,0.0,1.4871641397476196,0.9899999499320984,0.8685530424118042
EstA_GlyEE_frame5_input,31,1.7965381145477295,0.9543615579605103,1.9389256238937378,0.0,1.5024046897888184,0.9899999499320984,0.891470193862915
EstA_GlyEE_frame5_input,32,1.8896938562393188,0.9466960430145264,1.2330316305160522,0.0,1.5288312435150146,0.9899999499320984,0.872272253036499
EstA_GlyEE_frame5_input,33,1.8181984424591064,0.9563753008842468,1.2079840898513794,0.0,1.5430960655212402,0.9899999499320984,0.8747433423995972
EstA_GlyEE_frame5_input,34,1.8772294521331787,0.9548474550247192,2.0466103553771973,0.0,1.5456963777542114,0.9899999499320984,0.8523989915847778
EstA_GlyEE_frame5_input,35,1.8884326219558716,0.9518939852714539,1.3602722883224487,0.0,1.5745339393615723,0.9899999499320984,0.8849620819091797
EstA_GlyEE_frame5_input,36,1.7783868312835693,0.9487717151641846,1.194427490234375,0.0,1.5848668813705444,0.9899999499320984,0.8683721423149109
EstA_GlyEE_frame5_input,37,1.6768584251403809,0.9599637389183044,1.7023729085922241,0.0,1.5959135293960571,0.9766666293144226,0.887477457523346
EstA_GlyEE_frame5_input,38,1.8078992366790771,0.950305700302124,2.0292294025421143,0.0,1.5962066650390625,0.9899999499320984,0.8658075332641602
EstA_GlyEE_frame5_input,39,1.8388640880584717,0.9532337188720703,1.3636112213134766,0.0,1.6037942171096802,0.9899999499320984,0.8656102418899536
EstA_GlyEE_frame5_input,40,1.8468269109725952,0.9477836489677429,1.2244333028793335,0.0,1.6048915386199951,0.9899999499320984,0.8680089712142944
EstA_GlyEE_frame5_input,41,1.9086869955062866,0.9423509240150452,1.5871964693069458,0.0,1.6315970420837402,0.9899999499320984,0.8758387565612793
EstA_GlyEE_frame5_input,42,1.8012382984161377,0.9581236839294434,1.2175683975219727,0.0,1.6341056823730469,0.9899999499320984,0.8572165966033936
EstA_GlyEE_frame5_input,43,1.7661465406417847,0.9530176520347595,1.4404908418655396,0.0,1.6843574047088623,0.9899999499320984,0.8604856729507446
EstA_GlyEE_frame5_input,44,1.8910014629364014,0.9548606872558594,2.581556797027588,0.0,1.6924926042556763,0.9899999499320984,0.8860605955123901
EstA_GlyEE_frame5_input,45,1.931039571762085,0.9404257535934448,2.2723946571350098,0.0,1.697014331817627,0.903333306312561,0.8727651238441467
EstA_GlyEE_frame5_input,46,1.8307204246520996,0.9535232782363892,1.318360686302185,0.0,1.7276687622070312,0.9899999499320984,0.8609029054641724
EstA_GlyEE_frame5_input,47,1.813308596611023,0.9525600075721741,2.0420546531677246,0.0,1.735162615776062,0.9899999499320984,0.8690171241760254
EstA_GlyEE_frame5_input,48,1.881455898284912,0.9484906196594238,2.66788387298584,0.0,1.779636025428772,0.903333306312561,0.8712366819381714
EstA_GlyEE_frame5_input,49,1.7307242155075073,0.9537440538406372,2.2008273601531982,0.0,1.7838791608810425,0.8033332824707031,0.8696013689041138
EstA_GlyEE_frame5_input,50,1.7539945840835571,0.9534826278686523,2.836339235305786,0.0,1.8077914714813232,0.8899999856948853,0.8586125373840332
